PIGMENT ID;LABLE PICTURE;BOTTLE PICTURE;ARCHIVE ID;SPECIFIC NAME; DESCRIPTION;COLOR;SHADE;STOPPER;GEOGRAPHICAL ORGINS;DATE  OF PRODUCTION;CHEMICAL COMPOSITION;PHISICAL PROPERTIES;DESCRIPTION FOR ARCHIVE SITE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;;;;Tin cromium oxide 1:1;Deep Lilac;Lilac;Medium;Metal;England;December 1931;Cr-c;Powder;Glass jar with a metal lid containing lilac pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;VIII;Dusty Green;Green;Light;Plastic;;;ZnOCr2O3;Powder;Thin glass jar with a plastic lid containing green/grey pigment. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;My Phthalo blue;Bright Blue;Blue;Dark;Cork;;November 1917;;Fragments;Small glass test tube containing blue pigment, cork stopper. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;XIa part study ;Mauve Pink;Pink;Medium;Metal;;;;Fragments;Thin glass jar with a metal lid containing pink pigment. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;Aluminium Phthalo Cyaniene;Cyan Blue;Blue;Medium;Glass;;;Al;Dried pigment;Big glass jar with a glass lid containing blue pigment. Label present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;;;Egyptian blue IV;Egyptian Blue;Blue;Dark;Cork;;;Flusc + thoretical mixture, Ca;Fragments;Thin glass jar with acork stopper containing blue pigment. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;;B;Orange Pink;Pink;Medium;Cork;;;Fe2O3 OAl2O3;Powder;Small glass jar containing pink pigment, cork stopper. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;Egyptian blue;Egyptian Blue;Blue;Light;Cork;;1923;;Powder;Thin glass jar with acork stopper containing light blue pigment. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;;;Apul/azul? Upper part;Bright Purple;Purple;Light;Cork;;1933;TCO. 50:1;Powder;Glass jar with acork stopper containing purple pigment. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;;;Potters pink;Strawberry Pink;pink;Light;Cork;Wengen (Switzerland)?;;Cr2O3N SrO2 mCaO;Powder;Glass jar with acork stopper containing pink pigment. Label present.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
